time,open,high,low,close,Volume
2021-03-08,308.12,310.06,299.51,299.94,88409781
2021-03-09,307.47,313.73,306.92,311.77,80391114
2021-03-10,316.16,316.47,310.17,310.88,76798065
2021-03-11,315.77,319.86,314.85,318.04,53484804
2021-03-12,313.86,318.2302,311.391,315.46,69315601
2021-03-15,315.79,319,314.095,318.83,43123176
2021-03-16,321.09,324.2,319.1,320.58,54925896
2021-03-17,317.45,323.85,315.68,321.9,78258729
2021-03-18,316.87,317.8801,311.57,312.04,82942269
2021-03-19,311.87,314.73,309.6601,313.14,78446204
2021-03-22,315.21,320.74,315.21,318.61,56194755
2021-03-23,319.73,321.09,316.375,317.22,53455411
2021-03-24,318.63,318.67,311.72,311.87,64803729
2021-03-25,309.968,312.885,307.3899,311.33,78729008
2021-03-26,311.11,316.33,309.67,316,63519634
2021-03-29,315.45,316.99,312.47,315.91,54607963
2021-03-30,313.89,314.91,311.54,314.32,44635676
2021-03-31,316.16,320.74,315.81,319.13,55032535
2021-04-01,323.07,324.71,322.81,324.57,55685602
2021-04-05,327.13,331.84,324.6375,331.05,42172475
2021-04-06,330.73,332.83,330.02,330.82,33537210
2021-04-07,330.33,332.48,329.37,331.62,32046381
2021-04-08,334.56,335.27,333.7399,335.08,29940799
2021-04-09,333.68,337.32,332.92,337.11,36664892
2021-04-12,336.04,337.1,334.73,336.67,25833013
2021-04-13,338.24,341.08,338.02,340.6,30374033
2021-04-14,340.85,340.98,335.67,336.51,42564337
2021-04-15,339.47,342.01,336.2153,341.61,36342821
2021-04-16,342.15,342.23,340.08,342.01,40860099
2021-04-19,340.39,341.58,336.9016,338.88,34533129
2021-04-20,338.2,339.52,334.3816,336.41,38081818
2021-04-21,335.09,339.48,333.97,339.29,36598082
2021-04-22,338.89,339.9,334.01,335.2,45936143
2021-04-23,335.85,340.767,335.85,339.42,36414916
2021-04-26,339.67,341.92,338.9,341.63,30811968
2021-04-27,341.93,342.15,339.17,340.15,33187183
2021-04-28,339.81,340.85,338.3301,339,33615696
2021-04-29,342.37,342.8,336.9001,340.22,37708884
2021-04-30,337.7,340.26,337.05,337.99,38263421
2021-05-03,339.23,340,335.73,336.19,29729730
2021-05-04,333.56,333.89,326.21,330.14,65146972
2021-05-05,332.25,333.14,328.23,329.03,46219307
2021-05-06,328.76,331.67,326.45,331.51,46814283
2021-05-07,334.37,336.65,331.6914,334.2,53324460
2021-05-10,332.78,332.96,325.55,325.76,60700462
2021-05-11,319.7,326.1299,319.02,325.31,71963612
2021-05-12,320.23,322.62,316,316.89,91164855
2021-05-13,319.92,322.4,316.9,319.34,69877765
2021-05-14,322.6,327.33,322.08,326.39,44370015
2021-05-17,324.63,326.3721,321.45,324.41,39394997
2021-05-18,325.39,326.65,321.94,322.22,36528454
2021-05-19,316.66,322.9,316.3,322.59,66319108
2021-05-20,324.12,329.71,323.89,328.83,46466135
2021-05-21,330.43,330.86,326.64,327.01,50330449
2021-05-24,329.37,333.67,326.9032,332.51,32475771
2021-05-25,334.07,334.81,331.755,332.97,31280314
2021-05-26,333.66,334.61,332.95,334.13,25444932
2021-05-27,333.67,334.54,332.67,332.88,27931747
2021-05-28,334.12,335.5699,333.6,333.93,29927449
2021-06-01,335.3,335.785,331.43,332.82,31145424
2021-06-02,333.25,334.34,331.695,333.47,22047940
2021-06-03,330.55,331.86,328.28,330,37057825
2021-06-04,331.85,336.0582,331.78,335.6,38736545
2021-06-07,335.05,336.66,334.34,336.6,32611852
2021-06-08,338.395,339.29,335.03,336.76,27282819
2021-06-09,338.17,338.97,336.651,336.84,21485319
2021-06-10,337.19,340.46,336.73,340.35,33702067
2021-06-11,340.36,341.25,339.69,341.24,21222830
2021-06-14,341.68,344.52,340.46,344.51,27827716
2021-06-15,344.15,344.47,341.52,342.26,35963780
2021-06-16,342.74,343.84,337.45,341.01,55399538
2021-06-17,339.97,346.38,339.92,345.34,59722700
2021-06-18,343.63,344.8082,341.86,342.63,55414862
2021-06-21,342.43,344.69,340.15,344.36,32992649
2021-06-22,344.15,348.03,343.84,347.57,28941626
2021-06-23,347.51,348.92,346.88,347.74,27188454
2021-06-24,349.73,351.46,349.17,349.89,32581605
2021-06-25,350.47,350.72,348.84,349.46,28682801
2021-06-28,350.78,353.85,350.72,353.71,39130305
2021-06-29,353.53,355.0199,352.67,354.99,29426039
2021-06-30,354.83,355.23,353.83,354.43,32723964
2021-07-01,354.07,355.09,352.68,354.57,29289978
2021-07-02,356.52,358.97,356.28,358.64,32727244
2021-07-06,359.26,360.48,356.49,360.19,38842397
2021-07-07,362.45,362.76,358.94,360.95,35265242
2021-07-08,355.74,359.65,354.42,358.77,50890021
2021-07-09,358.17,361.5,357.57,361.01,35184534
2021-07-12,362.45,362.89,360.83,362.42,25717677
2021-07-13,362.03,365.465,361.54,362.42,39723015
2021-07-14,364.83,365.49,362.22,363.07,35336350
2021-07-15,362.98,363.19,358.46,360.52,53391557
2021-07-16,361.4,362.41,357.24,357.6,47261961
2021-07-19,354.05,355.18,352.04,354.67,64404625
2021-07-20,355.63,360.28,353.8,358.79,42183702
2021-07-21,358.35,361.56,358.12,361.56,30259860
2021-07-22,361.77,363.96,361.77,363.95,30252240
2021-07-23,365.31,368.485,363.9157,368.2,31960799
2021-07-26,367.49,368.89,366.601,368.49,28438126
2021-07-27,368.22,368.22,360.16,364.43,57933148
2021-07-28,365.6,367.45,363.24,365.83,42066195
2021-07-29,365.25,367.6794,365.25,366.48,25672533
2021-07-30,362.44,365.17,362.41,364.57,36484649
2021-08-02,366.28,366.88,363.87,364.6,27334097
2021-08-03,365.28,366.93,362,366.81,35558511
2021-08-04,366.77,368.32,365.63,367.34,29602236
2021-08-05,368.18,369.91,367.45,369.67,21443925
2021-08-06,368.37,369.37,366.905,368.05,33332107
2021-08-09,368.52,369.27,367.39,368.73,25960245
2021-08-10,369.26,369.56,365.62,366.84,35130796
2021-08-11,368.14,368.65,364.84,366.21,34249812
2021-08-12,365.69,367.9,364.295,367.53,26003877
2021-08-13,367.89,369.16,367.38,368.82,19336190
2021-08-16,367.67,369.02,363.7,368.98,35044107
2021-08-17,366.15,367.15,363.23,365.73,44793902
2021-08-18,365.18,366.62,361.865,362.21,38541940
2021-08-19,360.22,365.68,359.96,363.96,48499368
2021-08-20,365.06,368.14,364.74,367.73,39486034
2021-08-23,368.8,373.935,368.79,373.23,34034744
2021-08-24,373.84,374.99,373.36,374.37,21732913
2021-08-25,374.63,375.39,373.855,374.8,20441880
